Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberry Pi,Kyber-768,PQC,Encapsulation,13,0.000115,6388,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,13,0.000089,6388,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,13,0.052606,6388,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,13,0.002795,6388,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,13,0.042326,6388,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,13,0.269512,6388,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,13,0.000349,6388,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,13,0.066544,6388,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,14,0.005277,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,14,0.000116,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,14,0.000088,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,14,0.051716,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,14,0.002769,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,14,0.042063,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,14,0.528799,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,14,0.000325,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,14,0.066558,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,15,0.005288,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,15,0.000113,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,15,0.000102,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,15,0.051875,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,15,0.002765,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,15,0.042279,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,15,0.181946,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,15,0.000317,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,15,0.066604,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,16,0.005302,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,16,0.000108,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,16,0.000089,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,16,0.051399,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,16,0.002763,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,16,0.042448,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,16,0.268118,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,16,0.000337,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,16,0.079101,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,17,0.005386,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,17,0.000114,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,17,0.000088,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,17,0.051678,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,17,0.002756,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,17,0.042099,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,17,0.440675,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,17,0.000384,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,17,0.068601,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,18,0.005617,6136,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,18,0.000109,6136,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,18,0.000090,6136,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,18,0.051560,6136,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,18,0.002755,6136,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,18,0.042070,6136,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,18,0.700691,6136,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,18,0.000326,6136,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,18,0.066508,6136,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,19,0.005320,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,19,0.000110,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,19,0.000097,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,19,0.051756,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,19,0.002753,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,19,0.042053,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,19,0.269102,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,19,0.000337,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,19,0.066524,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,20,0.005492,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,20,0.000110,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,20,0.000098,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,20,0.051601,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,20,0.002777,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,20,0.042048,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,20,0.181600,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,20,0.000314,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,20,0.066748,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,21,0.005270,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,21,0.000115,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,21,0.000088,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,21,0.051576,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,21,0.002772,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,21,0.042476,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,21,0.354991,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,21,0.000353,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,21,0.066549,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,22,0.008664,6380,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,22,0.000188,6380,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,22,0.000147,6380,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,22,0.085065,6380,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,22,0.002769,6380,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,22,0.042760,6380,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,22,0.181787,6380,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,22,0.000335,6380,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,22,0.066581,6380,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,23,0.005299,6120,100%
Raspberry Pi,Kyber-768,PQC,Encapsulation,23,0.000117,6120,100%
Raspberry Pi,Kyber-768,PQC,Decapsulation,23,0.000089,6120,100%
Raspberry Pi,BIKE-L1,PQC,KeyGen,23,0.051524,6120,100%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,23,0.002770,6120,100%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,23,0.042251,6120,100%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,23,0.442307,6120,100%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,23,0.000326,6120,100%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,23,0.066522,6120,100%
Raspberry Pi,Kyber-768,PQC,KeyGen,24,0.005328,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,24,0.000109,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,24,0.000088,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,24,0.053134,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,24,0.002778,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,24,0.042549,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,24,0.441657,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,24,0.000327,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,24,0.066496,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,25,0.005376,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,25,0.000115,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,25,0.000089,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,25,0.053299,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,25,0.002766,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,25,0.042096,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,25,0.614224,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,25,0.000341,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,25,0.066527,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,26,0.005434,6384,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,26,0.000139,6384,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,26,0.000089,6384,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,26,0.051390,6384,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,26,0.002767,6384,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,26,0.042537,6384,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,26,0.354902,6384,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,26,0.000354,6384,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,26,0.066559,6384,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,27,0.005310,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,27,0.000115,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,27,0.000088,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,27,0.051414,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,27,0.002763,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,27,0.042279,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,27,0.308524,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,27,0.000319,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,27,0.066589,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,28,0.005280,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,28,0.000110,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,28,0.000089,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,28,0.053088,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,28,0.002774,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,28,0.042358,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,28,0.268353,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,28,0.000332,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,28,0.066509,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,29,0.005274,6392,99%
