Device,Algorithm,Type,Operation,Iteration,Time
Raspberry PI,ECDH,Classical,KeyGen,113,0.002592
Raspberry PI,ECDH,Classical,SharedSecret,113,0.000286
Raspberry PI,ECDSA,Classical,Sign,113,0.000871
Raspberry PI,ECDSA,Classical,Verify,113,0.000056
Raspberry PI,ECDH,Classical,KeyGen,114,0.002470
Raspberry PI,ECDH,Classical,SharedSecret,114,0.000273
Raspberry PI,ECDSA,Classical,Sign,114,0.000767
Raspberry PI,ECDSA,Classical,Verify,114,0.000057
Raspberry PI,ECDH,Classical,KeyGen,115,0.002534
Raspberry PI,ECDH,Classical,SharedSecret,115,0.000273
Raspberry PI,ECDSA,Classical,Sign,115,0.000539
Raspberry PI,ECDSA,Classical,Verify,115,0.000082
Raspberry PI,ECDH,Classical,KeyGen,116,0.002600
Raspberry PI,ECDH,Classical,SharedSecret,116,0.000274
Raspberry PI,ECDSA,Classical,Sign,116,0.000621
Raspberry PI,ECDSA,Classical,Verify,116,0.000037
Raspberry PI,ECDH,Classical,KeyGen,117,0.003308
Raspberry PI,ECDH,Classical,SharedSecret,117,0.000276
Raspberry PI,ECDSA,Classical,Sign,117,0.000649
Raspberry PI,ECDSA,Classical,Verify,117,0.000049
