Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberri Pi,ML-DSA-44,PQC,Verify,18,0.000169,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,18,0.017361,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,18,0.001056,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,18,0.000135,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,18,0.002800,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,18,0.063983,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,18,0.003939,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,19,0.005910,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Sign,19,0.000614,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Verify,19,0.000166,5880,99%
Raspberri Pi,Falcon-512,PQC,KeyGen,19,0.018674,5880,99%
Raspberri Pi,Falcon-512,PQC,Sign,19,0.000871,5880,99%
Raspberri Pi,Falcon-512,PQC,Verify,19,0.000115,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,19,0.002797,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,19,0.064025,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,19,0.003729,5880,99%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,20,0.005576,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,20,0.000902,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,20,0.000167,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,20,0.019380,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,20,0.000983,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,20,0.000137,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,20,0.002818,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,20,0.063788,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,20,0.003955,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,21,0.005620,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,21,0.000725,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,21,0.000167,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,21,0.017998,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,21,0.000898,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,21,0.000122,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,21,0.002856,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,21,0.063829,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,21,0.003680,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,22,0.005549,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Sign,22,0.000272,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Verify,22,0.000166,5880,99%
Raspberri Pi,Falcon-512,PQC,KeyGen,22,0.019165,5880,99%
Raspberri Pi,Falcon-512,PQC,Sign,22,0.000878,5880,99%
