Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ECDH,Classical,SharedSecret,43,0.000046
Laptop,ECDSA,Classical,Sign,43,0.000102
Laptop,ECDSA,Classical,Verify,43,0.000004
Laptop,ECDH,Classical,KeyGen,44,0.000446
Laptop,ECDH,Classical,SharedSecret,44,0.000049
Laptop,ECDSA,Classical,Sign,44,0.000103
Laptop,ECDSA,Classical,Verify,44,0.000003
Laptop,ECDH,Classical,KeyGen,45,0.000440
Laptop,ECDH,Classical,SharedSecret,45,0.000045
Laptop,ECDSA,Classical,Sign,45,0.000101
Laptop,ECDSA,Classical,Verify,45,0.000004
Laptop,ECDH,Classical,KeyGen,46,0.000472
Laptop,ECDH,Classical,SharedSecret,46,0.000045
Laptop,ECDSA,Classical,Sign,46,0.000100
Laptop,ECDSA,Classical,Verify,46,0.000004
Laptop,ECDH,Classical,KeyGen,47,0.000469
Laptop,ECDH,Classical,SharedSecret,47,0.000048
Laptop,ECDSA,Classical,Sign,47,0.000102
Laptop,ECDSA,Classical,Verify,47,0.000004
Laptop,ECDH,Classical,KeyGen,48,0.000462
Laptop,ECDH,Classical,SharedSecret,48,0.000049
Laptop,ECDSA,Classical,Sign,48,0.000106
Laptop,ECDSA,Classical,Verify,48,0.000004
Laptop,ECDH,Classical,KeyGen,49,0.000478
Laptop,ECDH,Classical,SharedSecret,49,0.000046
Laptop,ECDSA,Classical,Sign,49,0.000102
Laptop,ECDSA,Classical,Verify,49,0.000004
Laptop,ECDH,Classical,KeyGen,50,0.000467
Laptop,ECDH,Classical,SharedSecret,50,0.000047
Laptop,ECDSA,Classical,Sign,50,0.000099
Laptop,ECDSA,Classical,Verify,50,0.000003
Laptop,ECDH,Classical,KeyGen,51,0.000451
Laptop,ECDH,Classical,SharedSecret,51,0.000050
Laptop,ECDSA,Classical,Sign,51,0.000184
Laptop,ECDSA,Classical,Verify,51,0.000004
Laptop,ECDH,Classical,KeyGen,52,0.000460
Laptop,ECDH,Classical,SharedSecret,52,0.000049
Laptop,ECDSA,Classical,Sign,52,0.000103
Laptop,ECDSA,Classical,Verify,52,0.000004
Laptop,ECDH,Classical,KeyGen,53,0.000459
Laptop,ECDH,Classical,SharedSecret,53,0.000049
Laptop,ECDSA,Classical,Sign,53,0.000101
Laptop,ECDSA,Classical,Verify,53,0.000004
Laptop,ECDH,Classical,KeyGen,54,0.000470
Laptop,ECDH,Classical,SharedSecret,54,0.000045
Laptop,ECDSA,Classical,Sign,54,0.000099
Laptop,ECDSA,Classical,Verify,54,0.000004
Laptop,ECDH,Classical,KeyGen,55,0.000529
Laptop,ECDH,Classical,SharedSecret,55,0.000049
Laptop,ECDSA,Classical,Sign,55,0.000101
Laptop,ECDSA,Classical,Verify,55,0.000004
Laptop,ECDH,Classical,KeyGen,56,0.000457
Laptop,ECDH,Classical,SharedSecret,56,0.000045
Laptop,ECDSA,Classical,Sign,56,0.000101
Laptop,ECDSA,Classical,Verify,56,0.000004
Laptop,ECDH,Classical,KeyGen,57,0.000472
Laptop,ECDH,Classical,SharedSecret,57,0.000049
Laptop,ECDSA,Classical,Sign,57,0.000101
Laptop,ECDSA,Classical,Verify,57,0.000004
Laptop,ECDH,Classical,KeyGen,58,0.000507
Laptop,ECDH,Classical,SharedSecret,58,0.000048
Laptop,ECDSA,Classical,Sign,58,0.000122
Laptop,ECDSA,Classical,Verify,58,0.000004
Laptop,ECDH,Classical,KeyGen,59,0.000518
Laptop,ECDH,Classical,SharedSecret,59,0.000049
Laptop,ECDSA,Classical,Sign,59,0.000105
Laptop,ECDSA,Classical,Verify,59,0.000004
Laptop,ECDH,Classical,KeyGen,60,0.000550
Laptop,ECDH,Classical,SharedSecret,60,0.000046
Laptop,ECDSA,Classical,Sign,60,0.000131
Laptop,ECDSA,Classical,Verify,60,0.000004
Laptop,ECDH,Classical,KeyGen,61,0.000516
Laptop,ECDH,Classical,SharedSecret,61,0.000046
Laptop,ECDSA,Classical,Sign,61,0.000125
Laptop,ECDSA,Classical,Verify,61,0.000004
Laptop,ECDH,Classical,KeyGen,62,0.000522
Laptop,ECDH,Classical,SharedSecret,62,0.000045
Laptop,ECDSA,Classical,Sign,62,0.000102
Laptop,ECDSA,Classical,Verify,62,0.000004
Laptop,ECDH,Classical,KeyGen,63,0.000480
Laptop,ECDH,Classical,SharedSecret,63,0.000056
Laptop,ECDSA,Classical,Sign,63,0.000109
Laptop,ECDSA,Classical,Verify,63,0.000004
Laptop,ECDH,Classical,KeyGen,64,0.000470
Laptop,ECDH,Classical,SharedSecret,64,0.000049
Laptop,ECDSA,Classical,Sign,64,0.000101
Laptop,ECDSA,Classical,Verify,64,0.000004
Laptop,ECDH,Classical,KeyGen,65,0.000476
Laptop,ECDH,Classical,SharedSecret,65,0.000045
Laptop,ECDSA,Classical,Sign,65,0.000097
Laptop,ECDSA,Classical,Verify,65,0.000004
Laptop,ECDH,Classical,KeyGen,66,0.000543
Laptop,ECDH,Classical,SharedSecret,66,0.000049
Laptop,ECDSA,Classical,Sign,66,0.000105
Laptop,ECDSA,Classical,Verify,66,0.000004
Laptop,ECDH,Classical,KeyGen,67,0.000457
Laptop,ECDH,Classical,SharedSecret,67,0.000048
Laptop,ECDSA,Classical,Sign,67,0.000101
Laptop,ECDSA,Classical,Verify,67,0.000004
Laptop,ECDH,Classical,KeyGen,68,0.000463
Laptop,ECDH,Classical,SharedSecret,68,0.000049
Laptop,ECDSA,Classical,Sign,68,0.000163
